tgaMobileRT.exe: 00002C78: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\jQuery\autoNumeric\autoNumeric-1.9.35.js
tgaMobileRT.exe: 00004730: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.js
tgaMobileRT.exe: 000030D0: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.draw.js
tgaMobileRT.exe: 00003B0C: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-treenode-plugin.js
tgaMobileRT.exe: 00003A44: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\ux\classic\ux.js
tgaMobileRT.exe: 00004DDC: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\sweetalert2.min.js
tgaMobileRT.exe: 00005560: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\Leaflet.GoogleMutant.js
tgaMobileRT.exe: 00004830: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-unigui-min.js
tgaMobileRT.exe: 00003300: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\leaflet-text-icon.js
tgaMobileRT.exe: 00005D64: 17:04:52 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\dist\toasty.js
tgaMobileRT.exe: 000057D4: 17:04:55 [Requested Theme File not found:]:C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-xtheme-classic.modified.css
tgaMobileRT.exe: 000057D4: 17:04:55 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-ext.css
tgaMobileRT.exe: 00005660: 17:04:55 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\theme-classic\resources\theme-classic-all.css
tgaMobileRT.exe: 00004D28: 17:04:55 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome-4.7.0\resources\font-awesome-all.css
tgaMobileRT.exe: 00005FC0: 17:04:55 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-pictos\resources\font-pictos-all.css
tgaMobileRT.exe: 00005FAC: 17:04:55 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.draw.css
tgaMobileRT.exe: 0000321C: 17:04:55 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.css
tgaMobileRT.exe: 00004BF4: 17:04:55 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome\resources\font-awesome-all.css
tgaMobileRT.exe: 00002FC4: 17:04:55 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\sweetalert2.min.css
tgaMobileRT.exe: 00004168: 17:04:56 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\unisweetalert2.css
tgaMobileRT.exe: 00005158: 17:04:56 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\dist\toasty.css
tgaMobileRT.exe: 00004DC4: 17:04:56 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\assets\style.css
tgaMobileRT.exe: 00001E20: 17:04:56 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\assets\toasty-custom-styles.css
tgaMobileRT.exe: 00005BA4: 17:04:56 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-xtheme-common.css
tgaMobileRT.exe: 00005F78: 17:04:56 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\leaflet-text-icon.css
tgaMobileRT.exe: 000014B8: 17:04:56 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\ext-all.js
tgaMobileRT.exe: 00003900: 17:04:56 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\theme-classic\theme-classic.js
