Nome	Tipo	Descrição	
C11030.USER1 RF MANUTENÇÕES	Usuário		
C11030.USER2 RF MANUTENÇÕES	Usuário		
C11030.USER3 RF MANUTENÇÕES	Usuário		
C11041.USER1	Usuário	TIBBI	
C11072.USER1	Usuário	AUTO PECAS MAZANAUTO	
C11072.USER2	Usuário	AUTO PECAS MAZANAUTO	
C11072.USER3	Usuário	AUTO PECAS MAZANAUTO	
C11086.USER1	Usuário	MAQTINA	
C11087.USER1	Usuário	MINEIRO	
C11088.USER1	Usuário	MINEIRO TRANSPORTES	
C11088.USER2	Usuário	MINEIRO TRANSPORTES	
C11102.USER1	Usuário	BRASIL ENGENHARIA	
C11126.USER1	Usuário	TRANS CAMILA	
C11126.USER2	Usuário	TRANS CAMILA	
C11130.USER1 HIDROMAN MANGUEIRAS	Usuário		
C11130.USER2 HIDROMAN MANGUEIRAS	Usuário		
C11130.USER4 HIDROMAN MANGUEIRAS	Usuário		
C11136.USER1	Usuário	BUENO MAQUINAS	
C11136.USER2	Usuário	BUENO MAQUINAS	
C11169.USER1	Usuário	TORK FIXADORES	
C11169.USER2	Usuário	TORK FIXADORES	
C11169.USER3	Usuário	TORK FIXADORES	
C11169.USER4	Usuário	TORK FIXADORES	
C11169.USER5 TORK FIXADORES	Usuário		
C11169.USER6 TORK FIXADORES	Usuário		
C11169.USER7 TORK FIXADORES	Usuário		
C11227.USER1	Usuário	TH SERVICOS	
C11227.USER2	Usuário	TH SERVICOS	
C11227.USER3	Usuário	TH SERVICOS	
C11227.USER4	Usuário	TH SERVICOS	
C11227.USER5	Usuário	TH SERVICOS	
C11232.USER1	Usuário	TOP	
C11232.USER2	Usuário	TOP	
C11232.USER3	Usuário	TOP	
C11236.USER1	Usuário	BODEGAS BEER	
C11236.USER2	Usuário	BODEGAS BEER	
C11281.USER1	Usuário	TREVISOL E CIA LTDA ME	
C11281.USER2	Usuário	TREVISOL E CIA LTDA ME	
C11281.USER3	Usuário	TREVISOL E CIA LTDA ME	
C11282.USER1	Usuário	PESADAO COMERCIO DE PECAS LTDA	
C11284.USER1	Usuário	TREVISOL DE EQUIPAMENTOS AGRICOLAS LTDA	
C11285.USER1	Usuário	HENRIQUE ALBERTO TREVISOL	
C11300.USER1	Usuário	SAPEZAL REFRIGERAÇÃO	
C11300.USER2	Usuário	SAPEZAL REFRIGERAÇÃO	
C11309.USER1 FSA TECNOLOGIA E M. EM AGRICULTURA	Usuário		
C11332.USER1 SAVIM PRODUTOS QUIMICOS	Usuário	SAVIM PRODUTOS QUIMICOS LTDA	
C11332.USER2 SAVIM PRODUTOS QUIMICOS	Usuário	SAVIM PRODUTOS QUIMICOS LTDA	
C11332.USER3 SAVIM PRODUTOS QUIMICOS	Usuário	SAVIM PRODUTOS QUIMICOS LTDA	
C11332.USER4 SAVIM PRODUTOS QUIMICOS	Usuário		
C11425.USER1	Usuário	DBS SERVICO	
C11425.USER2	Usuário	DBS SERVICO	
C11445.USER1	Usuário	SALOME AUTO CENTER	
C11445.USER2	Usuário	SALOME AUTO CENTER	
C11445.USER3	Usuário	SALOME AUTO CENTER	
C11496.USER1 WJL CONCRETO USINADO	Usuário		
C11496.USER2 WJL CONCRETO USINADO	Usuário		
C11496.USER3 WJL CONCRETO USINADO	Usuário		
C11496.USER4 WJL CONCRETO USINADO	Usuário		
C11496.USER5 WJL CONCRETO USINADO	Usuário		
C11496.USER6 WJL CONCRETO USINADO	Usuário		
C11496.USER7 WJL CONCRETO USINADO	Usuário		
C11496.USER8 WJL CONCRETO USINADO	Usuário		
C11502.USER1	Usuário	XODO PNEUS	
C11502.USER2	Usuário	XODO PNEUS	
C11505.USER1	Usuário	RUSSO REVISAO	
C11579.USER1	Usuário	LUCAS TINTAS	
C11579.USER2	Usuário	LUCAS TINTAS	
C11579.USER3	Usuário	LUCAS TINTAS	
C11579.USER4 LUCAS TINTAS	Usuário		
C11597.USER1 CLINICA VARIZMED	Usuário		
C11619.USER1 CONSTRUTORA UNIAO	Usuário		
C11619.USER10 CONSTRUTORA UNIAO	Usuário		
C11619.USER2 CONSTRUTORA UNIAO	Usuário		
C11619.USER3	Usuário	CONSTRUTORA UNIAO	
C11619.USER4	Usuário	CONSTRUTORA UNIAO	
C11619.USER5	Usuário	CONSTRUTORA UNIAO	
C11619.USER6	Usuário	CONSTRUTORA UNIAO	
C11619.USER7	Usuário	CONSTRUTORA UNIAO	
C11619.USER8 CONSTRUTORA UNIAO	Usuário		
C11619.USER9 CONSTRUTORA UNIAO	Usuário		
C11651.USER1	Usuário	IMPERIO INDUSTRIA	
C11651.USER2	Usuário	IMPERIO INDUSTRIA	
C11651.USER3	Usuário	IMPERIO INDUSTRIA	
C11651.USER4	Usuário	IMPERIO INDUSTRIA	
C11652.USER1	Usuário	RBR AUTOMOTIVE	
C11652.USER2	Usuário	RBR AUTOMOTIVE	
C11654.USER1	Usuário	RADIADORES ELITE	
C11654.USER2	Usuário	RADIADORES ELITE	
C11709.USER1	Usuário	JR SOLUCOES TECNOLOGIAS	
C11709.USER2	Usuário	JR SOLUCOES TECNOLOGIAS	
C11713.USER1	Usuário	TRATONORTE	
C11713.USER2	Usuário	TRATONORTE	
C11735.USER1	Usuário	EXCELENCIA SUPERMERCADO	
C11735.USER2	Usuário	EXCELENCIA SUPERMERCADO	
C11735.USER3	Usuário	EXCELENCIA SUPERMERCADO	
C11735.USER4	Usuário	EXCELENCIA SUPERMERCADO	
C11735.USER5	Usuário	EXCELENCIA SUPERMERCADO	
C11735.USER6	Usuário	EXCELENCIA SUPERMERCADO	
C11740.USER1	Usuário	JS COMERCIO DE GESSO	
C11740.USER2	Usuário	JS COMERCIO DE GESSO	
C11740.USER3	Usuário	JS COMERCIO DE GESSO	
C11740.USER4	Usuário	JS COMERCIO DE GESSO	
C11740.USER5	Usuário	JS COMERCIO DE GESSO	
C11740.USER6	Usuário	JS COMERCIO DE GESSO	
C11783.USER1	Usuário	SANTA CLARA LOGISTICA	
C11783.USER2	Usuário	SANTA CLARA LOGISTICA	
C11783.USER3	Usuário	SANTA CLARA LOGISTICA	
C11784.USER1	Usuário	CONFIANÇA P. E AUTOMAÇÃO INDUSTRIAL	
C11784.USER2	Usuário	CONFIANÇA P. E AUTOMAÇÃO INDUSTRIAL	
C11784.USER3	Usuário	CONFIANÇA P. E AUTOMAÇÃO INDUSTRIAL	
C11784.USER4	Usuário	CONFIANÇA P. E AUTOMAÇÃO INDUSTRIAL	
C11784.USER5	Usuário	CONFIANÇA P. E AUTOMAÇÃO INDUSTRIAL	
C11784.USER6	Usuário	CONFIANÇA P. E AUTOMAÇÃO INDUSTRIAL	
C11784.USER7	Usuário	CONFIANÇA P. E AUTOMAÇÃO INDUSTRIAL	
C11784.USER8 CONFIANÇA P. E AUTOMAÇÃO INDUSTRIAL	Usuário		
C11784.USER9 CONFIANÇA P. E AUTOMAÇÃO INDUSTRIAL	Usuário		
C11785.USER1	Usuário	NORTAO EQUIPAMENTOS	
C11785.USER2 NORTAO EQUIPAMENTOS	Usuário	NORTAO EQUIPAMENTOS	
C11845.USER1	Usuário	EXATO AUTO CENTER	
C11845.USER2	Usuário	EXATO AUTO CENTER	
C11845.USER3	Usuário	EXATO AUTO CENTER	
C11855.USER1	Usuário	SERRANO CONCRETO	
C11855.USER2	Usuário	SERRANO CONCRETO	
C11855.USER3 SERRANO CONCRETO	Usuário		
C11908.USER1 MGM COMERCIO DE PECAS E REPRESENTACOES	Usuário		
C11908.USER2 MGM COMERCIO DE PECAS E REPRESENTACOES	Usuário		
C11908.USER3 MGM COMERCIO DE PECAS E REPRESENTACOES	Usuário		
C11908.USER4 MGM COMERCIO DE PECAS E REPRESENTACOES	Usuário		
C11910.USER1 BAREGUI PNEUS	Usuário		
C11910.USER2 BAREGUI PNEUS	Usuário		
C11910.USER3 BAREGUI PNEUS	Usuário		
C11925.USER1	Usuário	DH CRED	
C11925.USER2	Usuário	DH CRED	
C11972.USER1	Usuário	MUNDO BABY KIDS CNP	
C11972.USER2	Usuário	MUNDO BABY KIDS CNP	
C11972.USER3	Usuário	MUNDO BABY KIDS CNP	
C11972.USER4	Usuário	MUNDO BABY KIDS CNP	
C11972.USER5	Usuário	MUNDO BABY KIDS CNP	
C11981.USER1	Usuário	STRIKE BRASIL	
C11981.USER2 STRIKE BRASIL	Usuário		
C11981.USER3	Usuário	STRIKE BRASIL	
C11983.USER1	Usuário	STRIKE BRASIL	
